codec	repetition	elapsed_ms	wall	user	system	cpu	rss_kib	parquet_bytes
snappy	1	8159	0:08.33	33.19	12.31	546%	3199404	73305407
lz4	1	7870	0:08.03	32.95	9.54	528%	3174692	26291265
zstd	1	6794	0:06.95	27.77	6.97	499%	3181296	5723465
none	1	14247	0:14.41	40.20	14.99	382%	3104464	1123053555
snappy	2	8302	0:08.47	32.96	12.32	534%	3294140	73305407
lz4	2	7823	0:07.99	32.44	9.57	525%	3125108	26291265
zstd	2	6684	0:06.86	27.92	7.73	519%	3110908	5723465
none	2	14376	0:14.54	40.55	14.86	381%	3106460	1123053555
snappy	3	7994	0:08.17	33.07	10.69	535%	3218652	73305407
lz4	3	7650	0:07.82	32.48	7.93	516%	3170760	26291265
zstd	3	6823	0:06.99	27.75	7.66	506%	3178852	5723465
none	3	13931	0:14.09	39.92	14.07	383%	3100828	1123053555
