path	line	family	site_kind	disposition
crates/cdf-source-iceberg/src/catalog/mod.rs	154	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	194	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	217	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	249	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	351	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	369	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	396	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	425	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	435	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	445	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	449	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	453	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	455	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	469	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	470	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	477	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	480	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	481	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	486	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	487	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	570	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	571	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	590	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	596	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	604	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	617	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	629	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	634	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	685	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	692	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	703	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	725	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	731	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	789	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	790	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	798	shared-catalog	mapping	preserved-through-module-move
